epoch,loss,val_loss,val_x_pred_categorical_accuracy,val_x_pred_loss,val_x_pred_vae_anneal_metric,val_z_mean_log_var_loss,x_pred_categorical_accuracy,x_pred_loss,x_pred_vae_anneal_metric,z_mean_log_var_loss
23,0.04943061240366055,0.5526627181725181,0.9658656120300293,0.550186038017273,0.04461721330881119,0.055508583784103394,0.9844778180122375,0.04673061519861221,0.04461684823036194,0.06051439046859741
24,0.051810032717672684,0.5159090505671625,0.968238353729248,0.5119305849075317,0.0722033828496933,0.05510299652814865,0.9841944575309753,0.047548577189445496,0.07220419496297836,0.05902010202407837
25,0.05537755554084624,0.5170199273472623,0.9683156609535217,0.5106895565986633,0.11479582637548447,0.05514476075768471,0.9838824272155762,0.048471711575984955,0.11479557305574417,0.060157760977745056
26,0.06016930512296265,0.49216840891022756,0.9700189232826233,0.4832361936569214,0.17770180106163025,0.05026546120643616,0.9834972620010376,0.04973777011036873,0.17770326137542725,0.05870256572961807
27,0.06225386780166406,0.5144213560022839,0.9687556624412537,0.5036028027534485,0.2647678256034851,0.04086090996861458,0.9836987257003784,0.04899577051401138,0.2647700905799866,0.050074197351932526
28,0.06136295963390792,0.4847816343134549,0.9706152081489563,0.47362020611763,0.3750379979610443,0.029760558158159256,0.9843911528587341,0.04707484692335129,0.3750384747982025,0.03809783607721329
29,0.06114229490170239,0.522385544418671,0.9682835936546326,0.5111976861953735,0.5,0.0223758015781641,0.9844805002212524,0.046843744814395905,0.5,0.02859707549214363
30,0.05608931238047998,0.5393162732606107,0.9671716690063477,0.529124915599823,0.6249619722366333,0.0163069199770689,0.9856916069984436,0.04334516450762749,0.6249557733535767,0.020391806960105896
31,0.07029779834951506,0.6768873398785764,0.9589896202087402,0.6610137820243835,0.7352308630943298,0.021589966490864754,0.9814060926437378,0.056934747844934464,0.7352297306060791,0.018175283446907997
32,0.05567586027270862,0.557540484042983,0.9660407900810242,0.5473610162734985,0.8222973346710205,0.012379222549498081,0.9863109588623047,0.041791681200265884,0.8222987055778503,0.016884595155715942
